"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 31 10:23:46 GMT 2022","Sun Jul 31 10:23:57 GMT 2022","10725","test","test_tensor","TensorTestCase","","","Поиск в яндексе",""
"passed","Sun Jul 31 10:23:24 GMT 2022","Sun Jul 31 10:23:46 GMT 2022","22197","test","test_tensor","TensorTestCase","","","Картинки в яндексе",""
